PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,Label,classification
0.007996,0.008068,0.432961,0.008069,0.372881,0.471299,0.202869,0.801498,0.740909,0.249119,0.00464,0.016509,0.010638,0.065041,0.024109,0.741525,0.706122,0.040936,0.037657,0.779026,0.229437,0.025214,0.555556,0.009555,0.777008,0.082234,0.138192,0.008758,0.392857,0.278394,0.34014,0.265393,0.004474,0.003699,0.379594,0.005115,0.006221,0.150912,0,0,0,0,0.503559,0.004998,0.000529,0.005191,0.098787,0.001926,0.013927,0.033115,0.001844,TRUE,TRUE
0.010225,0.010627,0.349162,0.010628,0.355932,0.444109,0.270492,0.805243,0.8,0.182139,0.0058,0.018868,0.031915,0.065041,0.034591,0.791314,0.697959,0.042885,0.032427,0.689139,0.139971,0.02604,0.436111,0.013627,0.734072,0.122843,0.081957,0.01244,0.357143,0.210196,0.1763,0.384289,0.007922,0.007841,0.389468,0.007375,0.008737,0.101161,0,0,0,0.007968,0.457295,0.008171,0.002613,0.00936,0.133676,0.00555,0.004248,0.028629,0.002809,TRUE,TRUE
0.001659,0.001748,0.315642,0.001748,0.330508,0.432024,0.317623,0.764045,0.856818,0.139835,0.00464,0.007075,0,0.044715,0.010482,0.861229,0.755102,0.011696,0.008368,0.559925,0.116883,0.003676,0.536111,0.002399,0.768698,0.088325,0.045896,0.002143,0.285714,0.178263,0.135469,0.403397,0.001201,0.000875,0.371366,0.001122,0.001316,0.084577,0,0,0,0,0.432384,0.001215,0.000113,0.001094,0.091993,0.000437,0,0.033607,0.000394,TRUE,TRUE
0.003115,0.003221,0.365922,0.003221,0.432203,0.510574,0.241803,0.756554,0.921591,0.054054,0.017401,0.009434,0.021277,0.060976,0.16457,0.787076,0.726531,0.163743,0.138075,0.514981,0.085137,0.005602,0.5,0.00402,0.693906,0.121827,0.059639,0.00384,0.341837,0.185621,0.160672,0.44586,0.002006,0.002466,0.348327,0.001957,0.002251,0,0,0,0,0,0.412811,0.004382,0.00034,0.002259,0.108738,0.001021,0.000699,0.033938,0.000718,TRUE,TRUE
0.002632,0.00272,0.365922,0.00272,0.364407,0.44713,0.309426,0.775281,0.867045,0.113984,0.011601,0.009434,0.010638,0.069106,0.033543,0.851695,0.65102,0.035088,0.031381,0.602996,0.076479,0.007038,0.483333,0.003617,0.729917,0.056853,0.054344,0.003378,0.295918,0.210103,0.152946,0.430998,0.001572,0.000998,0.40757,0.001662,0.001658,0,0,0,0,0,0,0.001,0.001168,0.001428,0.081832,0.000418,0.00043,0.030747,0.000669,TRUE,TRUE
0.000837,0.000913,0.223464,0.000913,0.372881,0.480363,0.282787,0.838951,0.0875,0.945946,0.00232,0.004717,0,0.02439,0.006289,0.150424,0.84898,0.003899,0.014644,0.58427,0.111111,0.001508,0.55,0.001418,0.745152,0.090355,0.047535,0.001,0.443878,0.111709,0.041466,0.679406,0.000383,0.000363,0.481624,0.000522,0.000628,1,0,0,0,0,0.642349,0,0,0.000282,0.045755,0.000049,0.000215,0.034652,0.0002,TRUE,TRUE
0.001492,0.001597,0.27095,0.001597,0.398305,0.480363,0.270492,0.850187,0.340909,0.682726,0.00232,0.007075,0,0.02439,0.009434,0.384534,0.812245,0.023392,0.028243,0.606742,0.111111,0.002994,0.525,0.002179,0.811634,0.061929,0.056613,0.001838,0.362245,0.184202,0.098433,0.545648,0.000762,0.000517,0.393308,0.000793,0.000842,0,0,0,0,0,0,0,0,0.000728,0.059332,0.000126,0.00043,0.034482,0.000351,TRUE,TRUE
0.001691,0.001754,0.357542,0.001754,0.338983,0.416918,0.342213,0.812734,0.677273,0.320799,0.00348,0.016509,0,0.04878,0.023061,0.685381,0.838776,0.05653,0.052301,0.657303,0.165945,0.004508,0.494444,0.002559,0.807479,0.046701,0.078174,0.002157,0.30102,0.242316,0.211869,0.286624,0.001149,0.000725,0.379046,0.00108,0.001042,0,0,0,0,0,0.323843,0.002777,0,0.000777,0.0688,0.000298,0.000914,0.030067,0.000442,TRUE,TRUE
0.010291,0.010334,0.446927,0.010334,0.398305,0.492447,0.245902,0.82397,0.672727,0.313749,0.0058,0.021226,0.010638,0.073171,0.030398,0.673729,0.72449,0.046784,0.046025,0.728464,0.210678,0.027898,0.35,0.013322,0.626039,0.148223,0.110074,0.01214,0.372449,0.26831,0.205003,0.363057,0.010662,0.011353,0.394953,0.007196,0.009696,0.200663,0,0.024735,0,0.017264,0.453737,0.008547,0,0.016032,0.242673,0.00713,0.016723,0.031037,0.002519,TRUE,TRUE
0.065309,0.067043,0.385475,0.067055,0.432203,0.47432,0.209016,0.850187,0.490909,0.504113,0.00348,0.037736,0.010638,0.044715,0.035639,0.498941,0.673469,0.079922,0.061715,0.794007,0.359307,0.140547,0.422222,0.087579,0.627424,0.245685,0.133401,0.080363,0.321429,0.33535,0.248826,0.363057,0.064093,0.084003,0.403182,0.047546,0.052983,0.38806,0.007273,0.042403,0,0.017264,0.530249,0.066915,0.069326,0.092907,0.207054,0.051016,0.1226,0.059585,0.008528,TRUE,TRUE
